Nome,Simbolo,Data,Maximo,Minimo,Abertura,Fechamento,Volume,Cap. de Mercado
Ethereum,ETH,2016-10-18,12.927800178527832,11.99590015411377,11.99590015411377,12.588500022888184,18864200.0,1071362740.94
Ethereum,ETH,2016-10-19,12.619099617004396,11.908499717712402,12.592599868774414,12.022600173950195,10576200.0,1023599501.85
Ethereum,ETH,2016-10-20,12.288800239562988,11.997200012207031,12.046299934387209,12.098999977111816,8170760.0,1030522234.04
Ethereum,ETH,2016-10-21,12.205400466918944,12.02340030670166,12.12969970703125,12.175399780273438,5676920.0,1037420189.94
Ethereum,ETH,2016-10-22,12.190199851989746,11.954099655151367,12.180399894714355,12.071499824523926,7583820.0,1028949804.39
Ethereum,ETH,2016-10-23,12.143099784851074,11.939200401306152,12.130399703979492,12.03600025177002,5774660.0,1026301229.34
Ethereum,ETH,2016-10-24,12.100700378417969,11.909099578857422,12.03719997406006,11.968999862670898,5739690.0,1020971991.29
Ethereum,ETH,2016-10-25,11.993399620056152,11.147500038146973,11.967599868774414,11.413999557495115,19316000.0,973991741.58
Ethereum,ETH,2016-10-26,11.662500381469728,11.384099960327148,11.384099960327148,11.531999588012695,10221800.0,984429110.077
Ethereum,ETH,2016-10-27,11.606499671936035,11.263500213623049,11.531200408935549,11.499699592590332,13255400.0,982033773.83
Ethereum,ETH,2016-10-28,11.578399658203123,10.953900337219238,11.474900245666504,11.085100173950195,13971500.0,946972468.92
Ethereum,ETH,2016-10-29,11.19849967956543,9.56326961517334,11.100299835205078,10.444600105285645,27070400.0,892565736.151
Ethereum,ETH,2016-10-30,11.453700065612791,10.294899940490724,10.428199768066406,11.18280029296875,16694900.0,956007453.652
Ethereum,ETH,2016-10-31,11.498499870300291,10.935199737548828,11.229599952697754,10.99820041656494,13393900.0,940578263.742
Ethereum,ETH,2016-11-01,11.179699897766112,10.304100036621094,10.957799911499023,10.76609992980957,22901300.0,921057444.442
Ethereum,ETH,2016-11-02,11.160400390625,10.692500114440918,10.773500442504885,10.752599716186523,11691700.0,920236997.331
Ethereum,ETH,2016-11-03,11.107500076293944,10.762399673461914,10.797699928283691,10.800999641418455,15228600.0,924716659.063
